Locality_Code,N_sites,Sites,Mean_total_species,SD_total_species,Total_Spec_0_Generalist,Mean_Spec_0_Generalist,SD_Spec_0_Generalist,Total_Spec_1_Wetland_tolerant,Mean_Spec_1_Wetland_tolerant,SD_Spec_1_Wetland_tolerant,Total_Spec_2_Wetland_specialist,Mean_Spec_2_Wetland_specialist,SD_Spec_2_Wetland_specialist,Total_Spec_3_Fen_specialist,Mean_Spec_3_Fen_specialist,SD_Spec_3_Fen_specialist,Total_AllSpecies
BBN,2,BBN_A_SP2; BBN_A_SP5,12,2.8,0,0,0,1,0.5,0.7,12,6,1.4,11,5.5,2.1,24
BHN,2,BHN_A_SP5; BHN_A_HM6,17.5,13.4,2,1,1.4,7,3.5,4.9,20,10,5.7,6,3,1.4,35
BRK,2,BRK_A_SP3; BRK_A_SP4,9.5,2.1,1,0.5,0.7,0,0,0,12,6,1.4,6,3,0,19
BZN,2,BZN_A_SP2; BZN_A_HM2,20.5,4.9,5,2.5,0.7,14,7,2.8,19,9.5,3.5,3,1.5,0.7,41
CHV,2,CHV_A_SP4; CHV_A_HM2,27.5,3.5,10,5,4.2,16,8,1.4,21,10.5,3.5,8,4,1.4,55
DVR,2,DVR_A_SP6; DVR_A_SP3,17.5,3.5,2,1,1.4,1,0.5,0.7,16,8,2.8,16,8,2.8,35
HLN,2,HLN_A_HM3; HLN_A_SP2,5,0,0,0,0,0,0,0,0,0,0,10,5,0,10
HRC,2,HRC_A_HM2; HRC_A_SP3,6.5,0.7,0,0,0,0,0,0,8,4,0,5,2.5,0.7,13
HRD,2,HRD_A_SP4; HRD_A_SP3,46,7.1,34,17,0,20,10,0,30,15,5.7,8,4,1.4,92
HVZ,2,HVZ_A_SP4; HVZ_A_HM3,21.5,16.3,6,3,0,9,4.5,4.9,20,10,9.9,8,4,1.4,43
KCD,2,KCD_A_SP3; KCD_A_SP7,28,22.6,10,5,0,16,8,7.1,23,11.5,10.6,7,3.5,4.9,56
KKL,2,KKL_A_SP6; KKL_A_HM8,23.5,4.9,9,4.5,2.1,13,6.5,0.7,13,6.5,3.5,12,6,2.8,47
KLS,2,KLS_A_SP4; KLS_A_HM6,33.5,4.9,8,4,1.4,11,5.5,2.1,34,17,1.4,14,7,0,67
LCL,2,LCL_A_SP6; LCL_A_HM6,32.5,16.3,18,9,5.7,22,11,7.1,21,10.5,0.7,4,2,2.8,65
LVJ,2,LVJ_A_SP3; LVJ_A_SP2,22.5,19.1,6,3,1.4,11,5.5,6.4,21,10.5,7.8,7,3.5,3.5,45
NSV,2,NSV_A_SP2; NSV_A_HM2,40,17,13,6.5,2.1,23,11.5,6.4,33,16.5,7.8,11,5.5,0.7,80
NVS,2,NVS_A_SP5; NVS_A_HM7,14,8.5,3,1.5,0.7,5,2.5,3.5,14,7,2.8,6,3,2.8,28
OKL,2,OKL_A_SP5; OKL_A_HM2,28.5,27.6,8,4,2.8,19,9.5,10.6,24,12,9.9,6,3,4.2,57
PKV,2,PKV_A_SP3; PKV_A_SP4,26.5,10.6,2,1,0,4,2,1.4,26,13,5.7,21,10.5,3.5,53
PRZ,2,PRZ_A_SP3; PRZ_A_HM3,18.5,2.1,0,0,0,8,4,1.4,21,10.5,0.7,8,4,1.4,37
RTR,2,RTR_A_SP4; RTR_A_HM7,7,1.4,0,0,0,0,0,0,10,5,0,4,2,1.4,14
SFR,2,SFR_A_SP4; SFR_A_HM6,37,2.8,7,3.5,0.7,12,6,4.2,38,19,4.2,17,8.5,3.5,74
STR,2,STR_A_SP2; STR_A_HM2,11.5,0.7,0,0,0,1,0.5,0.7,10,5,1.4,12,6,0,23
SVD,2,SVD_A_SP5; SVD_A_HM8,20.5,0.7,5,2.5,0.7,3,1.5,2.1,21,10.5,0.7,12,6,2.8,41
VLS,2,VLS_A_SP5; VLS_A_HM5,24.5,27.6,5,2.5,3.5,16,8,11.3,23,11.5,9.2,5,2.5,3.5,49
VRJ,2,VRJ_A_SP4; VRJ_A_HM3,23.5,4.9,7,3.5,0.7,13,6.5,2.1,18,9,1.4,9,4.5,2.1,47
ZHJ,2,ZHJ_A_SP6; ZHJ_A_SP2,14.5,10.6,1,0.5,0.7,4,2,1.4,20,10,7.1,4,2,2.8,29
ZLM,2,ZLM_A_SP2; ZLM_A_HM3,46,1.4,9,4.5,2.1,18,9,5.7,41,20.5,4.9,24,12,4.2,92
ZMB,2,ZMB_A_SP5; ZMB_A_HM3,38.5,21.9,7,3.5,2.1,23,11.5,7.8,36,18,8.5,11,5.5,3.5,77
ZMK,2,ZMK_A_SP7; ZMK_A_HM8,17.5,7.8,12,6,4.2,8,4,1.4,7,3.5,4.9,8,4,0,35
