Locality,PCo1,PCo2
BBN_A,-0.0859800522741473,0.16152929228809043
BBN_B,-0.34105650406592364,-0.05838457174804504
BHN_A,0.08792980059941405,0.009947246183222451
BHN_B,0.06038071853504474,-0.18682968507326336
BRK_A,0.044311727820954036,-0.07779920441172178
BRK_B,-0.21844589104107653,0.3446148610622951
BZN_A,0.2301078346833078,0.08096382337552181
BZN_B,0.2074411351499344,0.21527672366457729
CHV_A,-0.20804208430400903,0.39746894150522977
CHV_B,0.22373824788439883,0.14200354203652032
DVR_A,-0.3094875198663388,0.2738601658648786
DVR_B,-0.38442012516548246,-0.04461788137984144
HLN_A,-0.24947460258731324,-0.11896423418570944
HLN_B,-0.20898121620668178,-0.15443527673811397
HRC_A,0.0725237059338895,0.17218838198258726
HRC_B,0.024476964259198854,-0.10957395440063841
HRD_A,0.16332419767321732,0.08646161478133313
HRD_B,0.14830489215626258,-0.06699080909179865
HVZ_A,-0.3173540408830706,0.2544980096743467
HVZ_B,-0.21140239403144648,-0.1837442910549514
KCD_A,-0.1950047940329427,0.015097023923973699
KCD_B,-0.017774004796981827,-0.15549287355059188
KKL_A,-0.2722764369723217,-0.2704747619337782
KKL_B,0.09479984675779932,-0.1905681577928268
KLS_A,0.31550075264838134,0.04658472959863152
KLS_B,0.26901987365559804,-0.016472069397636055
LCL_A,0.06531093933039452,-0.06205662153820291
LCL_B,0.22727028596885654,-0.03497572620052915
LVJ_A,-0.0787291403722838,0.37996626329829136
LVJ_B,0.28257885486344975,-0.03412088071174798
NSV_A,0.29305211046473145,0.05581556734830358
NSV_B,0.25667620516429923,-0.06707035308648666
NVS_A,0.12966312769904004,-0.10549550184401497
NVS_B,0.06647392669869624,-0.22531906757629147
OKL_A,0.10482604477120529,0.3804479416283445
OKL_B,0.35893755015499024,-0.0034683506675293367
PKV_A,-0.3494058601779647,0.22013731416121113
PKV_B,-0.370668673494348,-0.022291379119314666
PRZ_A,0.07853058207261214,0.15212857930233437
PRZ_B,0.27026003137617377,-0.15555508797654002
RTR_A,-0.2309145757232082,0.2811210989408074
RTR_B,0.1839506550470706,-0.14473404656960218
SFR_A,0.08848769524863483,0.008788757497482797
SFR_B,0.2602542715021682,-0.10758086353257072
STR_A,-0.1931675462486652,-0.012483236001737464
STR_B,-0.3158421659119638,-0.1196430997161334
SVD_A,-0.2850457461304719,-0.2144611182210918
SVD_B,-0.2501946531610593,-0.2930879410654019
VLS_A,0.2607902367969717,0.1741428734600852
VLS_B,0.22874556064186935,0.04525915804237839
VRJ_A,-0.07113818734782433,0.050565372200223904
VRJ_B,0.13199016753345427,-0.13937019453785449
ZHJ_A,0.13246151337752435,-0.1045996056240476
ZHJ_B,0.17058820624943982,0.046460197830276447
ZLM_A,0.16265232531536666,0.023087057912937952
ZLM_B,-0.006800858638192686,-0.15465385293859704
ZMB_A,0.22614217512520884,0.05260160017426253
ZMB_B,-0.08860153799987622,-0.24216238531539394
ZMK_A,-0.24301329981043543,-0.13130758183262112
ZMK_B,-0.41828025191552937,-0.06223147290352053
